id,tweet
1390186544967811077,"Software opportunity:- Develop Covid Dashboard, Oxygen Dashboard, Remnesivir Dashboard, ICU dashboard. Sell to states of india."
1390173316187447296,#SOS PATIENT NAME: MEHBOOB AGE: 54 COVID POSITIVE with Heart Complications SPO2: 70 REQUIRE ICU BED  IN #BANGALORE   @SonuSood @BBMPRRNagar @Tejasvi_Surya  9845222240 #SOS
1390172258694434820,"@sriramulubjp @narendramodi @BJP4India @BSYBJP @nalinkateel @JPNadda @AmitShah Sir, I appreciate numbers. But in 6.7 lakh 18-44 aged people, karnataka able to do for 3500 max. Why we getting less allocation. Karnataka contributes 1/8 of overall new covid cases, then we should be getting more oxygen, vaccine, ICU beds etc. else state face lot of issues"
1390153557333086212,"Vijay Karnataka says : (Kannada translation)  ""BJP MLA Satish Reddy had planted his people &amp; agents in the Covid war room &amp; as soon as ICU &amp; ventilator Beds would get empty in private hospitals, he would get to know it through them &amp; book those beds in someone else's name.""   2/n"
1390147888966115328,"@vaitheek How many battles as a country we need to fight ? It is really exasperating. COVID, O2 shortage, Vaccine shortage, ICU beds shortage, remdesivir, Corruption in bed allotment, Vaccine hesitancy, False rumours, International media... When  do we start becoming dutiful citizens?"
1390135096682770435,"@girishmreddy @AshwiniMS_TNIE @Offtejasvisurya Since today Rajiv Gandhi hospital, Jayanagar has been allocated as COVID hospital.   Any one affected from covid-19 needs Bed ICU Bed Oxygen Cylinders Oxygen Concentrate can inform me. R.C.Kantharaj  +91 98860 67078 +91 93416 67078  https://t.co/tHmD3qwUdL"
1390125421677539331,Patient Name - ANN Samrat Area location - Ulsoor/Cambridge layout Age - 70 Urgently need Ventilator + ICU Covid test - done but test result not received #covidbengaluru #covidhelp #CovidHelpOnline #Covid19IndiaHelp #Bengaluru  #covidemergency
1390113777069088769,"@siddaramaiah Good morning Sir,I'm filled with pain and grief burying dear ones, any how people are dying at home without ICU ventilator beds, please intiate a dharna, with all the Covid positive and protest before CM house and all BJP leaders house, let people die infront them."
1390103897864237056,"@Tejasvi_Surya We have been wandering across the hospitals since 4 days to get an Ventilated bed, even after the COVID report is negative. The CT Thorax reports aswell says indeterminate and may be Covid we aren't getting ICU bed. Without an oxygen cylinder his saturation is 62% Get us bed pls  https://t.co/9z0Weyp078"
1390101830051328000,"Hello @Tejasvi_Surya ,   3 people named Venkata Subba Rao, Manjunath and Punith have been arrested for extorting money from a COVID patient for ICU beds in Bangalore.  Now read out their name before Media!"
