id,tweet
1389123519674343425,We demand that Chief Minister @BSYBJP takes moral responsibility for deaths due to lack of oxygen in Chamarajanagar.  We demand that CM removes Health Minister @mla_sudhakar &amp; district in-charge minister @nimmasuresh from the Cabinet immediately.  #Chamarajanagar #OxygenShortage
1389123519674343425,We demand that Chief Minister @BSYBJP takes moral responsibility for deaths due to lack of oxygen in Chamarajanagar.  We demand that CM removes Health Minister @mla_sudhakar &amp; district in-charge minister @nimmasuresh from the Cabinet immediately.  #Chamarajanagar #OxygenShortage
1388547086958821376,"@BangaloreMirror If the roads are jam-packed in spite of lockdown, it is also because some are running for vaccination and the others are running for hospital beds, icu, oxygen and ventilator support or their family members. There is nothing to point this out. people are ill. They need care."
1389507008118747141,#CoronaInKarnataka High Court of Karnataka hearing petitions on poor management of #Covid crisis in State. Chief Justice tells Government that a Retired Judicial officer has to be appointed to conduct an inquiry into the death of patients in Chamarajanagar due to oxygen shortage.
1388545973303971840,@milindshah2006 Just we where thinking of shiftin him his saturation dropped which never recovered finally he had to be put on ventilator..
1390172627289841664,"@OnlyNakedTruth Hi. My co-volunteer has said that they've helped you connect with the hospital. Once the need is met, request you to pls delete the tweet to streamline pending requests."
1389932849264959491,"With this L ke bal in the state, the only way to get a ventilator bed is to go cry infront of the BBMP office for straight 2 days. I'm not even kidding."
1388839992055664643,"Bangalore ICU bed needed. Vasudev S.  M/40, JP Nagar, SPO2 87 with Oxygen Presently at Pinnacle Hospital BU NUMBER: 665372 Covid +ve Attendant name: Chinnappa  7760440582  Any leads @peakbengaluru @dakuwithchaku @PBnrg @MalaSivaprasad @nathan_archana"
1389633053505376257,"Suya Kiran Hospital, Hapur- 1125322335- ICU Beds Available.   Prem Dharam Hospital at Vasundhara #Ghaziabad have confirmed availability of beds and oxygen. verified  01204127778 7:36 PM · May 4, 2021· *#Verfied #BedsAvailability  in NCR on 4th May*"
1389910204305788928,"@dhruvhere These guys think Govt is sitting idle. Good individuals arranging cylinders can't replace Govt. Both are required.  While center procuring the Oxygen, cylinders, containers from outside. individuals get it to those in needy cutting short the red tape"
1388393928110575616,Any ambulance avialv the patient is unconscious and has to reach St. John's hospital from Whitefield. @peakbengaluru  @oxygenblr  @AshwiniMS_TNIE  @TellDM  @samyuktahornad  @Raghu_Dixit
1389097285112320006,Hum usss desh ke vasi he jahan paiso ki Ganga beheti he....💉💉💉 #vaccination #covid19 #narendramodi #vaccinationscam #india #hospitals #money   https://t.co/RA0cm7Utv2
1388411957191995393,"@shwetapandey83 @bihagbhatt @manojkumarp VMEDO Ambulance, #Ambulance service available in #Bangalore with or without #Oxygen + #Ventilator service provided. Call at - 9343180000  #verified at 12:28 pm"
1388383510998642688,@Keshu__10 Need oxygen refilling or oxygen cylinder in Moradabad UP area...please help patient spo2 is 60%
1389481362651029504,"@timesofindia @TimesNow @BBCHindi @WHO  people are dying here in Bihar, India and nobody is covering that.  No media no politician.  It seems that life of people of Bihar doesn't matter  No medicine, no oxygen,  no doctor  It's an apocalypse"
1388374419865698304,@BengaluruSOS @Shruthi_Thumbri @KiranKS Looking for bed with oxygen.. patient in Banashankari #Bangalore  #BengaluruSOS  # 8904713816 Covid report awaiting....  Please help
1389888829813780481,@ujjwalkumar659 @WeAreBangalore @SonuSood Manipal Hospital 1800 102 5555 Rainbow Childrens Medicare Private Limited Sree Lakshmi Multi Speciality Hospital Sri Krishna Sevashrama Hospital Vagus Super Speciality Hospital 080 23569978 Please try these
1388456256336056326,Isn't he supposed to give that oxygen to hospitals? Aren't hospitals complaining that they are running out of oxygen in Delhi? Why should they come to him instead of visiting the hospital and be at his mercy? Sickkk #OxygenCrisis #COVID19India
1388436402870710273,@bmcbbsr @CMO_Odisha @HFWOdisha @SRC_Odisha @IPR_Odisha We shifted to a covid hospital where we got bed with oxygen but they are strictly telling we dont have icu bed ventilator . They are asking to search for icu bed asap as my mother oxygen level is reducing .. lungs already affected.
1389665176647995393,@SoniaAg18032189 @Bhand_Engineer Please try MS Ramiah Hospital
