label,id,tweet
O,1388458690995376131,@aadil Helpline number. Called them and they said can be arranged for hospitals but not home.  https://t.co/cn48XwNnFs
O,1388458690995376131,@aadil Helpline number. Called them and they said can be arranged for hospitals but not home.  https://t.co/cn48XwNnFs
O,1389009162026160133,Thank you so much for your help I got oxygen Cylinder
O,1389841551900258305,Data shows mismatch in claims of oxygen requirement and utilisation by Karnataka  https://t.co/tlnyTY0WhI
O,1388660163087765505,@narendramodi  1.Trump lost election 2020 due to huge Covid deaths.  2. LARGE Covid deaths due to Elections&amp;Kumbh narrative  3. Oxygen &amp; Covid drugs hoarding deliberately for millions to die due to Covid to remove Modi  4. Push for masking social distancing to slow Covid spread
N,1388410022657368064,@TeamSOSIndia   Emergency Blood Required 🙏🏻  Patient name: Nagarathna Age: 86 Years Blood group : O positive  Contact details:+919945359154 Ujwala  Hospital name : Apollo Hospital Madhavan park Jayanagar   @Sowmyareddyr @WeAreBangalore @prajwalmanipal
N,1388354195640643584,"@Captain_Mani72 @bengaluru @Karnataka Need urgent help ....  My friend Suchitra who lost her Father  2 days back , is at trinity Malleswaram and need ICU bed as oxygen saturation level fall down to 60 . Pls help Patient attendant  Sunil 98801 83288 Sathish : 97415 99079 Or me"
O,1389441638557097984,"Good news indeed. Hope he recovers very soon. At least someone got an hospital bed without running around, paying bribes, arranging for oxygen..  https://t.co/wpRRxXnUt8"
O,1389584633260511233,@siddaramaiah @DKShivakumar  @mla_sudhakar Our Health Minister claiming that we have all the facility No shortage of oxygen look at the his own city suffering from lack of facility people are dying out side of hospital in karnataka shame on! @Chikkabalapur  https://t.co/bwWsWuaaqO
O,1390001172082139136,@ChouhanShivraj Kuch hospital bana liya hote 15 year mai sirf bakvas ke alaba kuch nahi kiya
O,1390186544967811077,"Software opportunity:- Develop Covid Dashboard, Oxygen Dashboard, Remnesivir Dashboard, ICU dashboard. Sell to states of india."
O,1388501171237576708,@RajivMessage Great Sir👏 NRI returning their gratitude towards their mother land.  Let these distributed to the Hospital who giving selfless service. Not to dump @MoHFW_INDIA. Good news is many Hospital management are giving free treatment and making just nominal charges to Covid Patients.
N,1388460324827779076,"Urgently need B+ plasma Male donor. Patient Name: Ashok Ahirrao Address: Metro hospital, Lajpat Nagar SPO2 Levels: Below 50 Phone Number: +91 89753 45729 Caretaker/family: Kaustubh Ahirrao @SonuSood @manojkjhadu  @IndBloodDonors @yuvahallabol @BloodMattersorg @_sayema"
N,1388750290791272451,"hospital with Nephrologists like ssims/link/apollo/kalyan Patient: Aruna Gupta age:48 Hospital: CHS Appple,old highcourt,#GWL blood group: O+ spo2 levels: 65 creatinine 4.4 Kidney and lungs are affected severely CT scan: 10 Medical history: Kidney transplant Ph:Mayank 8130287799"
O,1389260985467236357,One person vaccine shot is equal to one less oxygen cylinder. #COVID19 #CovidIndia
O,1388380414247505926,"This #MayDay let's thank and pray for Hospital Staff helping us breathe by risking their own life.   A staff checks medical #oxygen level after the refill was done, at Ramaiah Hospital campus in Bengaluru.   Let's with. Over this crisis.   #StaySafe India.  https://t.co/XZ4o4D62Rh"
