6,id,tweet
N,1388747197802373124,@Covid_Kanpur need ventilator bed in kanpur O2 levels dropping continuously  **EMERGENCY**  #Kanpur #kanpurcovid #VentilatorBed #Ventilator #COVIDEmergency
N,1388747197802373124,@Covid_Kanpur need ventilator bed in kanpur O2 levels dropping continuously  **EMERGENCY**  #Kanpur #kanpurcovid #VentilatorBed #Ventilator #COVIDEmergency
O,1389062840707780609,"A 400-beded abandoned children's hospital can be used as CCC. @rrnagaricare, @vrishabhavathi, RWAs, doctors find it. Appeal @BBMPCOMM @DHFWKA @Karnataka_DIPR must take over @NewIndianXpress @XpressBengaluru @santwana99 @CovidKarnataka @NammaBengaluroo   https://t.co/QUPAdh3Di7"
O,1388569728386441217,"No vaccine for ourselves it's there with other countries supplied by #PM 5G testing over metro cities reason behind cases increasing we don't have Remdesivir, oxygen, icu beds and they are spending 15k crores on election @BBCWorld @ModiResign @RahulGandhi @SonuSood @jacindaardern"
G,1388387474418937856,Delhi NCR - Nurses Availability only for ICU patients from TOMORROW ( HOME SERVICE)  Verified at 12:23pm DM if need details  https://t.co/44dsIeLtZB
N,1389911081854803971,"Patient: Praveen Kumar,age 32. Tested covid positive, low O2 levels. He urgently needs an ICU bed with ventilator in any hospital in Bangalore. He’s my ex colleague.  Contact no: 8839230355(His wife Pamela)  Pls help #BJYMCares  @BJYM @surnell @Tejasvi_Surya @mepratap pls amplify"
N,1389591272847921152,@GabbbarSingh Need a bed with oxygen for my brother in law in Jaipur.. Any verified leads will be helpful.. Thanks in advance.. SPO2 is declining (At 88% now) #SOSJaipur #COVID #Jaipur #OxygenBeds
O,1389611831807791108,@Tejasvi_Surya Thanks for unearthing hospital scam in bangalore.   In the morning received call from 08068277300 @9.17 am to confirm if BU 846862 requires bed. Our response was no. You can confirm if bed is booked against this number.  Hope u find the information useful.
G,1388411516811059206,#Oxygen #OxygenCylinder #DelhiCovid #DelhiNCR #DelhiSOS #SOSDelhi #Delhi  #CovidSOS #CovidIndia   Oxygen available at Delhi
O,1388386102717739009,@itvnews Very cleverly you mentioned name of one guy who couldn't get the bed.Why did you have to do that?To show people are selected and then taken inside hospitals based on certain criterias??? Shame on you guys @NiravJ7  @PrakashJavdekar
O,1389101129024241665,"Here's the list of features it currently supports -  1. Search for Oxygen/Bed/Plasma 2. A quick search by city, and hospitals 3. See the recent tweets about the much needed resources"
N,1390044668138725379,"Name of the patient - Shashi Rai  Age - 59 M/F - F Hospital name - JK hospital, Bhopal Plasma needed - A+ Covid recovered more than 30 days  Patient attendant number -  9096336315 (Gourav) 9096009956(Gagan) 9893699432 (Pranjal) O2 - 77 @srinivasiyc pls help"
O,1389421590765469696,St. John's doctors and nursing staff took excellent care of my grandmother last year during her final days. Please do consider donating if you're able (or donate to any other hospital/NGO you prefer).   https://t.co/AGQisvkWVy  #CovidIndia #COVID19India
O,1389855632371503105,"@mepratap @blsanthosh Kindly arrange oxygen beds, icu beds, medical staff, oxygen, critical medicines all over Karnataka &amp; especially in cities Bangalore, Mysore, Tumkur. People are dying without treatment."
O,1389986147850342411,@smna17 @NagpurKaRajini No vaccine in place? Why can't they control the pvt hospital mafia? Why can't they just sent an sms and ask them to come to certain place for vaccine? Modi did a terrible job here. Software is all fancy and rosy but in reality it's chaotic. Let's accept that /2
O,1389750105033515009,We are at a state where neither money or power could get you a bed or oxygen...  Pondering if this a success of socialism OR failure of capitalism?  #COVIDEmergencyIndia #Bengaluru
