label,id,tweet
O,1389451399860166671,"Dear crypto friends, We have very less time to buy the Oxygen Concentrator to save hundreds of lives in India. Plz help me, help India🇮🇳by donating any amount on this link 🙏🏻 ⤵️  BTC -1NLk6B3mrkQPN6xrYdeFBWimsuxhG68Hch #DogecoinToTheMoon  https://t.co/r7ZLqpFbtZ"
O,1389549379007258624,Bribe for BBMP quota hospital bed booking unearthed by BJP MP Tejasvi surya and BJP MLAs. BBMP officials took money to block beds for which govt paid for treatment. All beds were booked and showed scarcity. MLAs and MP to meet CM and complaint against BBMP officials.  https://t.co/qjOgIDyDtm
O,1388827176900890631,"@imSudhakaraRao @MadhukumarVP1 @INCKarnataka ನಿಮಗೆ Ambulance ಬೇಕಾ.? ರೆಮ್ ಡಿಸಿವಿಆರ್ ಇಂಜೆಕ್ಷನ್ ಬೇಕಾ.? ಆಕ್ಸಿಜನ್ ಬೇಕಾ.?  ಕಾಂಗ್ರೆಸ್ ಗೆ ಸೇರ್ಪಡೆ ಯಾಗಿ... ಕಾಂಗ್ರೆಸ್ ಪರ ಪ್ರಚಾರ ಮಾಡಿ.. ಕಾಂಗ್ರೆಸ್ ನ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದ ಯೋಧರಾಗಿ...  ನೀವು ಆಗಲ್ಲ‌ ಅಂದ್ರೆ, ನಮ್ ಹತ್ರನೂ ಯಾವ ambulance, injection, oxygen ಇಲ್ಲ...  ಇಂತಿ ಕಾಂಗ್ರೆಸ್"
O,1388755115079729157,Could you get details in this format  5. Since how many days : 2 6. SPO2 Level : *40 &amp; Dropping* 7. Is patient on oxygen cylinder? Yes / No : NO 8. Searching hospital bed since? : Now 6am 9. List of hospitals visited : 5 10. COVID-19 test done? : yes 11. COVID-19 Result : +ve
N,1388815217677635584,https://t.co/bpXoDioXu4  Apex hospital Varanasi 🙏🏻 Please !
N,1389524525943951362,Tocilizumab Injection. Required 2 doses very urgently for my brother in Chennai. His condition very critical &amp; now in oxygen support after 2 days of struggle. Please help. @srinivasiyc @sosiyc @IYC  https://t.co/Ee1sipEAFK
O,1388848097590005768,"@fayedsouza @tinucherian Because it’s about BJP running out of oxygen in WB, KL &amp; TN..."
O,1389281816209625088,I hope someone is auditing oxygen supply and demand in All cities especially ones with explosive growth in patients like #Bengaluru and #Chennai and planning back up options.
N,1388573434943135744,"@SonuSood @SoodFoundation Urgently require #Remdesivir for my uncle in Navi Mumbai, age- 70, who is been admitted to Niramaya Hospital, Kharghar. Any leads ? Please help @SonuSood sir 🙏🏻 #COVIDEmergency #Remdesivirinjection #COVID19India #CovidHelp"
O,1388518989739880451,"All we do is stand, stand in bank lines, hospital lines, NRC/CAA lines and now at Funeral lines. But the thing is our PM never stands with us. #IStandWithModi #achedin"
N,1389166095274184706,"4 : Fever,Loss of Smell, Breathless Oxygen Level with support &gt;92 5. Since how many days : 4 Days 6. SPO2 Level : With Support 92 7. Is patient on Oxygen Cylinder ? :Yes 8. Searching Hospital Bed Since ? : looking for ICU Ventilator   9. List of Hospitals Visited :"
N,1389840177439203332,@BertyThomas Trying continuously now from 4 days but still couldn't book any slot in Bengaluru.. I guess it is getting over in micro seconds or something. Also heard people are using contacts and getting these vaccinated at top private hospitals over here. This is nothing but a utter scam.
O,1389386874528010244,"@indiamusings One of the rare times I disagree. Rampant black marketing of oxygen and poor management of hospitals, Covid by the CM has diminished his status IMO."
O,1389233120751210501,@Proudly26290119 @MeghUpdates But the union health minister is also saying there is no shortage of oxygen in the country. So Kejriwal is not alone is scoring political points.
O,1388406728920748034,@Sophie_Choudry There are many who converted their luxury suv into free ambulance. Just they dont want publicity so doing it as per wish. While there are few who are doing it for publicity.
O,1390001607786471430,"INS Talwar arrives in Karnataka.  Today @NewMngPort received @IndianNavy’s INS Talwar, carrying 40 MTs of Liquid Medical Oxygen filled in cryogenic containers from Kingdom of Bahrain.  More medical supplies are scheduled  to reach us in the coming days!   @PMOIndia @CMofKarnataka  https://t.co/2Y8HzkbwFl"
O,1388405375154626563,@yemmay Which Hospital is this? I couldn't find any slot. I'm guessing you tried early in the morning.
N,1389615408840249351,BANGALORE  Patient name: Lester Dennis Lurshay Age/Gender: 36/Male Symptoms: Covid+ (difficulty in breathing) SPO2 (Oxygen%): 85 Patient in: PHC SRF number/BU ID:2952511834457 COVID result: +ve Attendant name: Geetha Attendant mobile number: +91 89041 11875 Type of Bed Ventilator
N,1389092254803927042,Any leads for ventilator bed in Bangalore? One of my colleagues urgently needs help. @DeepikaBhardwaj @Tejasvi_Surya @Comedy_Praveen @Ateendriyo @tishtriya @brakoo
O,1389499159963586561,"@ANI Twitter has banned more ""white"" people than any. Stop giving her a platform to spew lies and hate. Save your oxygen.. #KanganaRanaut"
O,1389084322448117760,@Darshan_skumar @peakbengaluru Are these services with oxygen?
O,1389491400429998080,COVID-19: SC directs Centre to prepare buffer stock of oxygen for use in emergencies | via @indiatvnews  https://t.co/6SaGtWsFve
N,1388952060243058688,@VijayImmanuel6 @SonuSood Bro no beds in Bangalore I tried with all hospital @VijayImmanuel6  tell them to contact BBMP again again only they can arrange any beds plzzzz
O,1389087639534391298,Oxygen shortage: 12 Covid patients die in Chamarajanagar district hospital in Karnataka   https://t.co/xKj73BxJdL
O,1388775707136888833,"Police book Bhopal auto-ambulance driver Javed for violating Covid rule, withdraw case after outrage  https://t.co/KDiDVrYsgB"
O,1388445559048990723,12. Prefer Govt/Pvt/Any Hospital ? : Pvt/Govt 13. Attender Mobile No : 6362270134 14. Relation to the Patient : wife 15. SRF ID :2952511734032 16. BU Number :BU-784534
O,1388543777816543232,@erjayagrawal Even if price is Rs 300 what is the problem. People with corona are paying in thousands to ambulance just to take them to hospitals. Nobody complains when a movie makes super profits then why complain for vaccine price. Today some of the vaccines for infant are over Rs.2000 also.
O,1388690104714076161,"No beds in Hospitals,No Oxygen to Breathe, No Vaccine to Inject no Wood to Cremate..  where are the Gods, Godesses  @ttd_seva #IndiaFightsCorona #COVIDEmergency #COVIDSecondWaveInIndia #CovidHelp #SOSTDP #SOSBangalore #SOSDelhi #SOSNoida"
G,1388383120190152705,@Nikhil_S If your friend has it and it’s already used and then can I bring my friend over to use it as no hospital bed is there
O,1388405586627227650,"""Put your mask first before you help others""  There is a reason why they say this.   We should help our own people before exporting Vaccine and Oxygen to others. Buddhu exported for global PR and we are left with nothing.  https://t.co/jyjIOzTa0f"
O,1388505006240722946,Ajeeb se ghadi aagayi hai Kisi ka pariwar toot rha hai To kisi ke sapne Koi bhuka mar rha hai  To koi bina oxygen ke🥺💔
O,1389058041564200961,China assures help after Sonu Sood flags ‘blocking’ of oxygen concentrator imports  https://t.co/inshuCM2TF   #China #Sonusood  https://t.co/zDmh6LPG27
O,1388763324460896257,India deploys seven warships to transport large oxygen containers  https://t.co/2E8w5lWcir  via NaMo App  https://t.co/BdZwgIO0yz
N,1388789401203843074,"#Hyderabad  #SOS  URGENTLY need Plasma Donor , Donor who recovered from Covid in last 3 months  Blood Group : B+ Hospital: HEALIX Hospital Location: Madinaguda, Hyderabad Patient: Vijitha Reddy Contact: +91 9867639192 (Bharath) @CovidPlasmaIn @covid_army @CovidHyderabad   plz 🙏🏻"
o,1388486395686125569,"any such statistics about 162 Oxygen plants and account of PM Care fund, and why state have to pay 400 to 600 for the vaccine when center pays only 150"
o,1388743964954546180,People are dying not because of covid but due to lack of vaccines and oxygen in India. What a terrible situation.
o,1389927787926937606,@surnell @Tejasvi_Surya Similarly I am sure please see the tally of hospital as to how much oxygen one uses against other hospitals...like for eg if 10 people use certain amount of O2 same or less should be in other hospital too .if there is too much difference it has to be checked
o,1388534457993338887,@raalferns @sagargaikwad @AjaySag42737877 @DrSubhasree Earlier this year centre had given the delegation and funds to states for creation of Oxygen plants and Medicare infra. No CM has denied this. Fact is Maharashtra alone has contributed over 30% of Corona deaths and the CM was busy doing vasooli.
n,1390168501042651136,"@SonuSood brother, my cousin urgently needs ventilator at JK hospital, Rayagada, Odisa.  He is critical can you please help.  @SoodFoundation"
o,1388389123271008256,@dhanyarajendran @geetikamantri Apparently price gouging has begun. Private hospitals are offering covaxin @1200 &amp; covishield @900
o,1389317206819827712,@brajeshlive Asal me galti logo ki hi hai aaj bhi log netao se nahi puchte hai ki hospital school colleges kyun nahi bane MP MLA se nahi puch rahe hai ki dilwao oxygen apni fortuner becho ya jaguar koi matlab nahi dilwao Black me kharido ya government se bolo par log apna ghar nahi jale  bs..
o,1389142215222464512,Request users to return your empty medical oxygen gas cyclinders. This can save many lives through refill. #empathy #OxygenCylinders #Oxygen #sdg17
o,1388438392782811136,"Visited MS Ramaiah and KIMS hospitals and discussed augmenting beds for treatment of Covid-19 patients. MS Ramaiah hosp has agreed to reserve 850 beds incl 450 oxygen &amp; ICU beds, and KIMS will reserve 133 oxygen beds for Covid-19 treatment. Together we will defeat the pandemic.  https://t.co/GFSS854fhh"
o,1389577643880706048,@VishweshwarBhat Same thing with oxygen scarcity. Hospitals are wasting oxygen just to put the blame on state and central leadership. Need an inquiry on this too.
o,1389948417695043593,"@Tejasvi_Surya we are all born as humans. Stop creating riots in the middle of pandemic. You have a great responsibility to do now which is arranging beds, oxygen and help out fellow humans. Please do that instead of playing a blame game."
n,1389087722577424391,@Priyanayak1292 @SonuSood @SoodFoundation Already called every hospital in the list. No ICUs are available.
n,1388500534265450498,"PLASMA NEEDED!  PATIENT NAME: RAVIRAJ KINI  HOSPITAL: KS HEGDE, DERALAKATTE, MANGALORE  Blood Group : A +  Contact Details: 9482842669 or 9535817646"
o,1388436162423902215,@MooochhMan @DammnGirll Oxygen cylinder agra???
o,1389637693303263232,"@Tejasvi_Surya Gr8 sir, similarly please do monitor distribution of oxygen and ventilators supplied by friendly nations. Thanks you will be remembered for long time, you are saving life that is supreme."
o,1388791678996152322,"It hurts to see that its INC which people reach out for oxygen or other help during pandemic, its INC which puts the pressure on Modi for national issues but people still don’t vote for it. Not even one win. Democracy is a weird thing."
o,1389864132996833295,"@mla_sudhakar Sir,  This thinks we know about last year. Can u please update on Oxygen, ventilator, bed, central trains for bed."
n,1389629749463379969,"@BBMPCOMM @AshwiniMS_TNIE @prajwalmanipal , please help for bed allocation, registered with BBMP no success still, tried @ pvt hospitals still no success, please help  https://t.co/gWUDQldzRd"
o,1389175467052130304,@Tejasvi_Surya  - Can you or anyone from NDA government share similar update on:   ICU / Oxygen Beds : List of hospitals available Pan India ?   Oxygen Cylinders : vendors info ?  Remdesivir : State wise availability ?  Results show not @BJP4India but Covid-19 is growing all over
n,1388540112577855493,#Patna #Patnacovid #BiharFightsCorona  Need urgently ICU Oxygen bed for a patient  NAme: Sheshadri Shekhar Age:30 Oxygen level &lt;85  Please amplify &amp; help!
o,1389860600331706375,"indians standing in lines: demonetisation 2016 food packets 2020 crematoriums 2021 oxygen cylinders 2021 covid beds 2021 covid vaccinations, without vaccines 2021  and always, line mei sabse last."
o,1388763404425261059,IAF ferried 47 oxygen containers with a total 830 MT capacity from abroad  https://t.co/IZ6plloO2n  via NaMo App  https://t.co/XnSguRWoSc
n,1389559421273927683,"@krishnabgowda @DHFWKA Patient Mrs. Ravina  K/ Age-50yrs. Covid positive date - 27th April/ O2 level now- 86, Pulse 95/ Has fever, low oxygen and dropping pulse/ Area -HBR layout,Blr 560043 Looking for a hospital bed with oxygen, and ICU facility:Mob 9902867369 BU number:708587&amp;755867🙏"
o,1388755721898971139,Devotees neither received Maya nor Rama.  Neither got power in Bengal nor oxygen.  #ElectionResultsFace with tears of joyFace with tears of joyRolling on the floor laughingRolling on the floor laughing    https ://  https://t.co/Fey32hcbIX
o,1389758383901712390,Daily jabs continue to decline as private hospitals remain short of vaccines  https://t.co/4sebjTvM64 via @timesofindia
o,1388719153016578051,Why this? Are others getting it? Don’t they have enough vaccines? Which hospital is this? @mla_sudhakar @KarnatakaVarthe @DHFWKA could u pl look into this. Second dose is absolutely imp.
o,1389418388062031876,"@AshwiniMS_TNIE  @ajavgal  @samyuktahornad @jananivathsala Oxygen level:60 ಇತ್ತು ನೆನ್ನೆಯಿಂದ ತುಂಬಾ ಪ್ರಯತ್ನ ಮಾಡಿದ್ದೀವಿ,ICUಬೆಡ್ ಸಿಕ್ಕಿಲ್ಲ. ರೋಗಿಯ‌ ಆರೋಗ್ಯ ಮತ್ತಷ್ಟು ಹದಗೆಟ್ಟಿದೆ. 1912-1ಸಹಾಯವಾಣಿಗೆ ಕರೆ ಮಾಡಿ ಮಾಹಿತಿ ಕೊಟ್ಟಿದ್ದೇನೆ, ಯಾವುದೇ ಉಪಕಾರ ಆಗಿಲ್ಲ. ದಯಮಾಡಿ ಸಹಾಯಮಾಡಿ 🙏  https://t.co/jqm2fEXhWG"
