id,tweet
1389211491895627778,"A team has been formed to increase the oxygen supply, bed facilities and ventilators in Mahadevapura constituency since there is shortage. The team will work at increasing supplies and facilities in not just the currently working hospitals, but also in separate centres. 2/3"
1389211491895627778,"A team has been formed to increase the oxygen supply, bed facilities and ventilators in Mahadevapura constituency since there is shortage. The team will work at increasing supplies and facilities in not just the currently working hospitals, but also in separate centres. 2/3"
1390109885568745474,"@uzair_a_s @Neurophysik Already enough damage done because of excessive use of antiviral drugs, wrong treatments,  unwanted occupying beds at hospital. God sake follow experts. India has only option of vaccinating quickly the balance population."
1388508291060301827,@MathuraKrishnaa visit hospitals tomorrow.....
1388676958628638722,"I have not come across many hotels in Chennai, with Covid care facilities with doctors consultation.   ONE exist in Mint street, however some hotels do offer, but doctors consultation or hospital tie up is absent. Let me know, if there are any."
1388509056621432834,"Historically, the Indian state’s focus of ‘delivery’ (food grains, schools, hospitals etc) was on the poorest Indians  The middle class was not interested in govt facilities and wanted to pay for better pvt sector facilities  Covid has confused both the State &amp; the middle class"
1389477691204816896,"Lockdown, Jabs, Makeshift Hospitals: Dr Fauci Advises India Amid Covid"
1389332622661226504,@alifayaz161 @Ramani0808 Hers is 95 at the min since she is on oxygen but doc recommended to shift to hospital
1389927276653940739,"Kindly help 🙏🏻  Urgently need plasma B+.  Patient Name : Bharath.  Age : 29.  Location : Apollo Hospital, Jayanagar,  Bluru.  Attender Number : 9972099581.  @DHFWKA @mla_sudhakar @VSOMANNA_BJP @BBMPCOMM @BloodDonorsIn @BloodAid @BbmpsplHealth @BGUdayBJP @PCMohanMP @Tejasvi_Surya  https://t.co/k5qpeuxZOX"
1389982397073031169,Bangalore Oxygen Leads.
1388717247435137030,"Yesterday again my brother &amp; I gave swabs at City hospital. It's been 24 hrs,we hv nt received any acknowledgement notification yet. It seems they threw it this time as well. Please look into this matter. @Ganjam_Admin @BrahmapurCorp"
1389192200345374725,@PiyushGoyal But our city has not received enough #Oxygen ..
1389444655486406657,International Media Modi की इतनी किरकिरी क्यों कर रहा है? Corona V Oxygen! The New York Times!! The Guardian   https://t.co/KaPnoKxk1h
1389900083500441600,"@Tejasvi_Surya are you even capable of calling yourself a MP? here people are dying due to lack of oxygen and ICU beds, but you a venomous guy is busy in spreading the hatred towards one community. such a SHAME! #DiaperSuryaExposed"
1389911081947181056,"My friend is raising money for his music teacher's dad who is in hospital with COVID. Music teacher is low on work, salary cuts &amp; his classes have been slashed. So the family is struggling.  If you can spare a bit, here it is. Sending money is easy:  https://t.co/zPhcbgOJ5x"
1388816909445988353,"@amitmalviya 1. Trump ignored Covid millions died, Trump lost 2. Modi Amit Shah ignoring Covid &amp; millions of Indians  DIEING  3. If Modi Amit Shah don't stop Covid then BJP LOSES 2024 LIKE BENGAL 4. To Win Central govt should give vaccine Covid medicines oxygen freely to all"
1388494203030630404,"In the olden days different tribes and their leaders fought for land, cattle, forest and better part water bodies. Today see, what’s happening our tribe is fighting for oxygen, it is the life saving air. - Manam"
1389092839607259139,"@mla_sudhakar @CMofKarnataka, @BBMPCOMM @BBMPAdmn My mother's(79 years) Covaxin 2nd dose due. Not getting at anywhere -UPHCs and PVt hospital. When it will be available? Pls help"
1388529378917715980,@kudlada_jawne ಈ ಸಮಾಜಕ್ಕೆ ಶಾಪ ವಾದ ಕನ್ನಡ news channel ಗಳೇ ಕರ್ಕಶ ವಾಗಿ ಕೂಗಿ ಸ್ಮಶಾನ ಹೆಣ ಸುಡುವುದು ಇವುಗಳನ್ನು ತೋರಿಸುವ ಬದಲು  hospital ನಲ್ಲಿ bed position ಎಲ್ಲಿ ಆಕ್ಸಿಜನ್ medicine ಸಿಗತ್ತೆ ಅಂತ ಹೇಳಿ.
1388547691160870912,Patient Name :Shray Bhardwaj Location: Gurgaon Contact no.: 9354349909 Requirements: ICU bed in multi specialty hospital (prefer medanta in Gurgaon if possible)  Oxygen level : 88 Specifc details : Candidate for urgent liver transplant postponed due to covid. #CovidSOS @SonuSood
1389989708810260488,And no stock of vaccine for 2nd dose. Bangalore private hospitals are dry.
1388679840115478530,@WeAreBangalore Now needed at Bangalore. Current Oxygen level 69%
1389274535606714368,It sort of reduces tension as we have dedicated hospitals for treatment alone and vaccination centre is different place.
1388523805035794438,"Dr R N Gopal is in ICU admitted in Dev hospital in Gurugram. His condition is deteriorating. As there is no ventilator facility in this hospital, he needs to be shifted to some other bigger hospital. Please help him.  Attendant: Dr Vibha +917859925544 @DC_Gurugram  #gurugramcovid"
1388355267558002689,@TajinderBagga need urgently oxygen cylinder in dwaraka please help
1389860737200234497,"SC on contempt notice issued by HC to Centre: Putting officers in jail will not bring oxygen to city, let's ensure lives are saved. Tell us how much oxygen you have allocated to #Delhi in last three days?  #CovidIndia  https://t.co/UFgFCYPLzi"
1389457916147679234,"Watch “FROM THE SPIKE TO THE DANCE #Shorts” on YouTube A Dance Performance For You.. Courtesy - Cameo Stories For Donating To Covid -19 Pandemic Crisis Visit  https://t.co/n56yn744oS And Kindly do your donation, it might be a medicine or oxygen...  https://t.co/yJ5OI5YP8q"
1388717229789769732,@DrSJaishankar Yes sir you are right. So many people are faking their deaths and oxygen levels to defame us. Can't believe people will go the extent of dieing for their anti India propaganda.
1389121209627906048,@BhatiaCrish @DharmaSuta Appreciate the gesture about not cutting down trees but Oxygen from plants/trees is not equivalent to Medical Oxygen.
1389556622339371010,ಜಿಲ್ಲಾ ಉಸ್ತುವಾರಿ ಸಚಿವರು ಬೆಂಗಳೂರಿನಲ್ಲಿ ಮಜಾ ಮಾಡೋದಕ್ಕೆ ಇದ್ದಾರಾ..?- ಸಿದ್ದರಾಮಯ್ಯ   https://t.co/uQQnvEUWr5  #Newsfirstlive #Siddaramaiah #Chamarajanagar #Hospital #COVID19 #CoronaSecondWave #SureshKumar #Sudhakar @BJP4Karnataka @INCKarnataka
1389976645063233548,@smyltr I don’t think anyone lost life in AIIMS due to lack of oxygen..this hospital always have oxygen...
1389911899186286592,@Jaya_Jaya_Ram @KavithaReddy16 @DrSenthil_MDRD @Tejasvi_Surya Dude there are oxygen and other support coming from many gulf countries. Will you call that as oxygen Jihad and don't take it when ur on dying bed?
1390047561830961152,"#Bangalore #SOS #ICU #Bed #Urgent #COVID #Help #Leads #India   1. Patient Name : Usha Gupta 2. Age : 69 3. Area / location: Indiranagar Bangalore 4. Symptoms : breathing problem, Saturation level 70 No hunger 5. Since how many days :9 days 6. SPO2 Level : 70 (1/2)"
1388798956897898500,Friends relative urgently required ICU oxygen bed in hospital #Delhi   Patient name- Yashoda Devi  Oxygen saturation- 76  Contact number- 9999593204 Place : Delhi NCR Please help @AdityaRajKaul  @CMODelhi @drharshvardhan #ICUBed  #OxygenBeds  #Oxygen
1389088977089482754,@sampa_biswas @PriyaGopalakri4 @pvsubramanyam Basic facilities before 2014 were non existent. You would need to bribe to even get beds in Govt hospitals ! As for Oxygen almost every State would have struggled.
1388359390542000131,"I hope very soon we will see more tweets such as  ""Oxygen bed, ICU, Remdesivir available in abundance at very low price""  Than these:  ""Need oxygen cylinder, ICU bed,  6 vials of remdesivir ASAP, please help"""
1389570628194246660,"@SonuSood  sir just you one help can save millions of life , nazereth hospital is life saver for millions , it will be really helpful for the Bihari people. #openmokamanazareth  @scnfamily @PMOIndia @NitishKumar @VersialAunta @mokamaonline"
1388498778408185857,@mla_sudhakar Why are limiting the testing in government hospitals?
1388347474134196224,"@ABHIJIT_LS Yes. Had they not exported oxygen (double the previous year's export) and used for our own purposes, we could have saved thousands of our own people.  Will this govt take the responsibility for loss of their lives??  Can they bring back even one life??  Most irresponsible Govt."
1389202021773840389,"@prajwalmanipal I also think that they are taking more patient now, where they can not increase the capacity of holding oxygen..."
1388746515468877825,"Prince or Pauper , Power Player or Poor Player.. all are fully brought to level by this new VIP..Very Insurmountable Pandemic with no bed, medicines and oxygen in this monumental failure to protect lives.. Indian Express article by Prabhu Chawla...How True!!!"
1388425183862525953,"In India a lapdog of ruling govt dies due to Covid  and majority of people demand for justice, in same country 1000s of  poor people die for oxygen and medical services, same majority remains mum,  this happens only in India. #JusticeForRohitSardana"
1388865599875342341,My friend's family members need 2 beds immediately in Visakhapatnam. One with oxygen and other with ventilator. Another family needs the injection shown in image #BedsAvailability #OxygenEmergency #OxygenBeds #Visakhapatnam #VentilatorBeds  https://t.co/X4UUpFOPo7
1388731217734893569,3. Earmark separate hospitals for non Covid emergencies and care. Publish that list in the newspapers. Let people know where to go for what. They are running pillar to post with no clue. Help them. @narendramodi @drharshvardhan @myogiadityanath
1389155475606888450,"@sahal_samad She said she tried this number ( 09496005115 ) and they weren't answering. She got the test done outside at Avitis City Hospital, though. Thanks Sahal. 🙌🏾"
1388806626992267269,@Karishma_Mehta5 @AdityaRajKaul @TellDM @bainjal @Tejasvi_Surya Some one lately was able to get at Brookefield hospital . Pls check
1389167479650361346,"@prakashagencie1 @RukminiGooptu @DebeshiGooptu @samyuktahornad Most places are not picking up. If anyone has verified leads for home support, please get in touch. Looking mainly for oxygen as patient has history of respiratory issues."
1389253542351757312,@narendramodi Itna log mar rahi hai hum log ko oxygen keliye paisha nehi milraha ha lekin bjp bangol me itna sara paisha kharch kar dia election keliye kash wo paisha hospital me use kia hota ho kuchhu log bach jate modi ji humko abhi mehesus ho raha hai hum log aapko pm chunke bada galti kia
1388929874396553217,"Those who are doing dishonesty in the crematorium woods and asking for 20000 for cremation. This is us!  From looting in coconut water, fruits, vegetables, eggs, chicken, lentils to getting beds in hospitals, all these people have looted This is us!"
1390181882948587524,Assalamu alaikum @SonuSood bhai  Arjunt need remdesivir in Bangalore  Patient name is Yousuf Khan Hospital. Manipal nursing home Bangalore.560026 Sab jagha se ummid khatam hogai hai  Ab aap ka hi sahara hai
1388524692554731523,@Neerjargon For concentrator v have to contact dr.ishtiyaq Shifa hospital.
1389623597388353539,@kiranshaw @YouTube @Tejasvi_Surya Bed ಇಲ್ಲ Bed ಇಲ್ಲ.. Antha ಜನರ ಜೀವ ಬಲಿ ತೆಗೆದುಕೊಂಡರೀ.. Oxygen ಕೊರೆತೆ ಅಂತ ವಸೂಲಿ ಮಾಡಿ ಜೀವ ಬಲಿ thagond ರೀ.. ವಿಧಾನಸೌಧ ಬಳಿ ಮುಂದೆ ಎಷ್ಟು ದೊಡ್ಡ ಜಾಗವಿದೆ ಮಾಡಿ ಹಾಸ್ಪಿಟಲ್ ಮಾಡಿ ನೋಡೋಣ.. ನಮ್ ಮನೆ ಬಾಗಿಲಿಗೆ ವೋಟ್ ಕೇಳಕ್ಕೆ ಬನಿ yakada.. yakada.. ದಾಳಿ bilthave..
1388838891529064449,"requirement for plasma in Delhi NCR  *Urgently required*  Patient Name- Anil kumar Age- 55 yrs Location- GS medical hospital, hapur Oxygen level-82 Requirement- plasma (B+) Contact Person Name &amp; Mobile Attendant Name:Anjali  8076523191 @vikrantgupta73 @rawatrahul9 @cricketaakash"
1389628361266192384,@TabbuRao @INCKarnataka Hello madammu the hospitals also involved in this majorly owned by congressis soo stop smiling it will come to your itself your Congress party worker yet be arrested nethravthi  https://t.co/jmeKO9MJch
1389131966704865282,@himantabiswa @AssamCovid @MoHFW_INDIA Sir my father #MH-2585 is admit Metro Hospital khanapara for Covid Treatment. Bez of  some govt approval Hospital reject the discharge request. If anything happen govt and hospital will be the responsible.
1388479798440194048,Is it true????  Only CMSS(Central Medical Services Society) under Central health ministry has the authority to install oxygen. It's not a factory to open as you wish.DMA(Disaster management Act) has been invoked by the central govt . If invoked only centre has the authority.
1389108119343538180,Good idea. Temp Hospitals near oxygen plants need of the hour now @WeAreBangalore
1388454346698878977,Fire in hospital's intensive care kills 18 in India's Gujarat | The Express Tribune  https://t.co/GYQDtQz9rN
1388677382018461699,ರಾಜ್ಯದ ಪ್ರಮುಖ ಆಸ್ಪತ್ರೆ ಮುಖ್ಯಸ್ಥರೊಂದಿಗೆ ಸಿಎಂ ಸಭೆ: ಪ್ರಮುಖಾಂಶಗಳು  #Karnataka @BSYBJP #Hospitals    https://t.co/Uz8rrghzgN
1389989346208477184,@SavlaDevang +917835963465 - #Ambulance service #Ghaziabad
1389565937351806977,"@kclikestoeat @BBMPCOMM It’s about time #BBMP made verified new COVID CARE CENTRES + ICU facilities.   If so much data is being collected and nothing is being done about increasing capacity, it’s such a sham."
1388376997747773441,@sunandavashisht India still has no Covid strategy. @BJP4India   Exporting oxygen &amp; vaccines when our own people are dying is nothing short of a crime.
1389502024748732417,@iamrana Different vaccines are procured at different rates by the hospitals and government. Hospitals are charging ₹250 for the doses Central Government procured at ₹150… however now SII is charging ₹600 for Private hospitals..
1389063391021441026," https://t.co/7S406239OW  This link helped us look at empty ICU beds in #Chennai last night. While 95% of leads might be full and calls might not go through, it might be worth visiting the hospital if possible to check first hand. That's how a family found a bed at KMS. #ICU"
1389916446134730752,"Urgent  Ventilator bed required  in  Bangalore   for  critical Covid patient  with SPO2 30  1. Praveen Kumar Soni, 32 years, Bangalore 2. On Oxygen  since 4 days 3. Attendent Number : 8839230355 (Pamela - wife) 4. SRF ID: 2952511127182  Please help!  @WeAreBangalore @BBMPCOMM"
1389221325785288711,"@republic @indiatvnews @TV9Bharatvarsh  Instead of running SLUGFESTs called DEBATES titling it ""Poochtha Hai Bharath"" -- Why dont you Journo's do some GOOD WORK to ensure that ALL MEDICAL SUPPLIES ARE CORRECTLY DELIVERED TO ""CORRECTLY"" NEEDING STATES/HOSPITALS ...contd"
1389797977531686912,@Joylita Which hospital is this?
1390058083632697345,INS Talwar reaches Mangaluru with 40MT of liquid medical oxygen | Mangaluru News – Times of India  https://t.co/DjFfxhmNVE
1389118699777363975,"Please note: This has worked for us personally yesterday.  We could arrange Remedisivir for someone. It took longer for us as the hospital was not registered. But, still helped!"
1389111793973301248,"the projects which are imp to politicians never cost too much money or take too long, but ask about hospitals or facilities for citizens and suddenly we become a 'poor' country where everything takes forever."
1389505812213628935,"This World Asthma Day, eliminate your misbeliefs about Asthma and trust the guidance of experts.  To book an appointment, call: 080 4969 4969     or visit:  https://t.co/o0RS0jfYTu  #WorldAsthmaDay #AsthmaDay #Asthma #LiveHealthyLife #Sakra #SakraWorldHospital  https://t.co/6Ur7I4Lrsb"
1388955522406129665,"If you can spend on fancy buildings in the capital for $2700 million, buy 2 luxury planes to travel for $1150 million, build a statue for $400 million and building a temple for $150 million, why ask others to get oxygen and vaccines?"
1389199738130505730,The TIME of getting hospital bed or oxygen cylinder is huge. If we can manage this time ..we can save more patients. This is the time where oxygen levels are further dropping down and become more complicated. @ysjagan @ArogyaAndhra @AndhraPradeshCM #Vijayawada #CovidIndia #oxygen
1389602598718558213,"Compiled list of websites for *Covid* resources (Oxygen, beds, remdesivir, plasma):  Goto :  https://t.co/ILE6V0yZW5"
1389815321641439237,Karnataka government forms a one-man commission under retired High Court judge BA Patil to probe deaths in Chamarajanagar district hospital due to oxygen shortage and other similar incidents. Report to be submitted in a month. @DeccanHerald  https://t.co/HhCtNNBkyr
1389910709530681349,"Give vaccine, give oxygen, give hospital, give a job, today's list of demands is long. #DiaperSuryaExposed"
1389947863623299081,But what about your state president's office promising volunteers to arrange oxygen for a Bengaluru hospital and not returning calls after that?
1389916597771399169,"@srivatsayb Srivatsa, it now appears that it is a well planned international conspiracy to deny the supply of oxygen to our hospitals. Hands of some organisations working inside India are not ruled out. Wait for big khulaasa."
1388526609708244995,"@marishadolly How about setting up a oxygen plant in delhi, remember china had built a hospital in a week's time in their worst phase"
1389414767207407619,"@ArshadRizwan @KPCCKarnataka @DKShivakumar @csogok Sir it's not only black market is remdesiver, the oxygen filling plants too are charging more,a 46ltr cylinder which was filled at rs 850 to 1000 is now costing rs 2200 to 3000. Need to fix a price from government. Poor people who can't afford for refilling charges are dying more"
1388740424349618177,"@DeSakshi hey please let me know about ICU in #Bangalore for corona patient Age-65, oxygen level 72"
1388507871348871177,@ManglamTiwari19 @srinivasiyc @WasimJaffer14 The above link also.. search with Lucknow and oxygen supplies..not verified persobally but nevertheless single repository of info
1389783123739611137,"@kalivelashankar Joshi Nursing home - Chamrajpet has ICU with oxygen beds if saturation level is 80 or more, without oxygen support. CT score should be 15. Above they they cant take as they dont have ventilator. Mobile - 9008260106 #Bengaluru"
1388554243448053761,@DVSadanandGowda @BSYBJP @DDChandanaNews @PIB_India @PIBBengaluru @BJP4Karnataka @nalinkateel @drashwathcn @mla_sudhakar Then why r hospitals still facing short. Depute nodal officers strictly
1388744457672007681,"#CovidSOS #COVIDHelpBangalore   Patient Name: Bhavneet (Female)  Age: 38 Hospital Admitted: Vydehi Hospital, Whitefield, Bangalore  Blood Group: B+ve Kind of Bed Required : ICU/Ventilator  Plasma also required Attender Contact: Puneet Anand - 9611674588"
1388360529895333889,@chaithradevraj Bed oxygen vavysthe
